Star name   Type       distance   Teff       L          Lmin       Lmax       
LkHalpha330           1        250       5800         11          7         16
RYTau                 0        142       6310         15          9         23
LkCa16                1        142       4350        0.8        0.6          1
DRTau                 1        142       4060        1.1        0.9        1.3
GMAur                 1        142       4730        1.2        0.8        1.6
SUAur                 0        146       5860         11          3         19
CRCha                 1        160       4900          3        2.3        3.8
DICha                 1        160       5860        9.5        7.3       11.7
HPCha                 1        160       4205        3.2        1.7        7.7
FMCha                 1        160       4350        5.8        3.5        6.9
WWCha                 1        160       4350        6.5        4.2       10.2
CVCha                 1        160       5410        4.6        3.6        5.7
Tcha                  1        108       5890        1.2        0.5        3.1
HD142560              1        150       4000        3.7        2.2        5.6
HD143006              1        145       5884        3.4        2.7        4.2
V2246OPH              1        120       5248        7.5        6.3        9.5
HBC639                1        120       5250        8.1        4.8       11.8
ELIAS2-24             1        120       4266        1.8        1.1          2
ELIAS2-28             1        120       4169        0.3        0.2        0.6
ELIAS2-30             0        120       5950        6.3        3.3       11.9
V2129OPH              1        120       3981        1.3        0.8        1.7
V2062OPH              1        120       4900        1.5          1        2.1
