Luminosity,R_in,T_max,T_max < 1500 K
7.0,0.1,938.9448,True
7.0,0.2,806.6938,True
7.0,0.3,746.1429,True
7.0,0.4,677.5546,True
7.0,0.5,650.2465,True
7.0,0.6,607.2959,True
7.0,0.7,571.511,True
7.0,0.8,551.0024,True
7.0,0.9,553.1124,True
9.0,0.1,929.0035,True
9.0,0.2,821.3065,True
9.0,0.3,756.6212,True
9.0,0.4,681.5947,True
9.0,0.5,635.5397,True
9.0,0.6,612.939,True
9.0,0.7,584.0717,True
9.0,0.8,564.3892,True
9.0,0.9,536.1569,True
11.0,0.1,951.3752,True
11.0,0.2,811.8822,True
11.0,0.3,722.1184,True
11.0,0.4,678.7916,True
11.0,0.5,638.7458,True
11.0,0.6,617.891,True
11.0,0.7,571.1465,True
11.0,0.8,555.1379,True
11.0,0.9,528.9346,True
13.5,0.1,940.3619,True
13.5,0.2,809.4063,True
13.5,0.3,715.2985,True
13.5,0.4,693.2618,True
13.5,0.5,646.4998,True
13.5,0.6,601.5693,True
13.5,0.7,577.8199,True
13.5,0.8,552.5596,True
13.5,0.9,546.0892,True
16.0,0.1,938.2682,True
16.0,0.2,778.275,True
16.0,0.3,734.0618,True
16.0,0.4,650.4714,True
16.0,0.5,651.8863,True
16.0,0.6,605.9689,True
16.0,0.7,593.4176,True
16.0,0.8,549.9604,True
16.0,0.9,535.5728,True
