Luminosity,R_in,T_max,T_max < 1500 K
9,0.1,1019.964,True
9,0.2,885.3945,True
9,0.5,705.8458,True
9,1,557.9596,True
9,2,432.3625,True
9,5,290.4548,True
9,10,218.3539,True
12.0,0.1,1009.314,True
12.0,0.2,880.0627,True
12.0,0.5,699.7776,True
12.0,1,557.0561,True
12.0,2,432.6026,True
12.0,5,290.8122,True
12.0,10,218.5356,True
15,0.1,1010.399,True
15,0.2,869.191,True
15,0.5,684.5773,True
15,1,567.1774,True
15,2,429.3616,True
15,5,288.8598,True
15,10,218.5382,True
19.0,0.1,1020.948,True
19.0,0.2,920.0768,True
19.0,0.5,675.7905,True
19.0,1,543.6321,True
19.0,2,436.6704,True
19.0,5,290.5508,True
19.0,10,218.4519,True
23,0.1,1034.946,True
23,0.2,886.0458,True
23,0.5,669.0762,True
23,1,559.3835,True
23,2,436.8723,True
23,5,291.3574,True
23,10,218.3829,True
