baseline,2.11817micron,10.54976micron
0,[1],[1]
5,[0.12006972],[0.76341668]
10,[0.07114892],[0.48894965]
15,[0.15398184],[0.23456837]
20,[0.1634829],[0.02356127]
25,[0.1247543],[0.12945293]
30,[0.06626116],[0.21238246]
35,[0.0138607],[0.22654608]
40,[0.01738528],[0.18213541]
45,[0.02503595],[0.10111108]
50,[0.01793354],[0.00829741]
55,[0.006898],[0.07289741]
60,[0.00201677],[0.1246967]
65,[0.00417529],[0.13859726]
70,[0.01179039],[0.11647351]
75,[0.01842695],[0.06789564]
80,[0.01939829],[0.00803933]
85,[0.01402994],[0.04709056]
90,[0.00559951],[0.08427549]
95,[0.00231978],[0.09630242]
100,[0.0057118],[0.083109]
105,[0.00539049],[0.05051492]
110,[0.00308495],[0.00880269]
115,[0.0014395],[0.03106413]
120,[0.00186616],[0.05896994]
125,[0.00382905],[0.06948859]
130,[0.00573506],[0.0615087]
135,[0.00595545],[0.03893516]
140,[0.0043042],[0.00881802]
145,[0.00178016],[0.02032913]
150,[0.00161255],[0.04153052]
155,[0.00238488],[0.04995851]
160,[0.00240148],[0.04515728]
165,[0.],[0.02946918]
170,[0.],[0.00820048]
175,[0.],[0.01301336]
180,[0.],[0.02840721]
185,[0.],[0.03502153]
190,[0.],[0.03203532]
195,[0.],[0.0209828]
200,[0.],[0.0064979]
