baseline,"[8.516709, 9.478886, 10.54976, 11.74162, 13.06814]"
0,1
5,"[[0.9951149 ]
 [0.99545315]
 [0.99607893]
 [0.99672499]
 [0.99688595]]"
10,"[[0.98122924]
 [0.98259297]
 [0.98494827]
 [0.98734431]
 [0.98801843]]"
15,"[[0.96005397]
 [0.96309149]
 [0.96805529]
 [0.9729917 ]
 [0.97438105]]"
20,"[[0.93330886]
 [0.93882728]
 [0.9470388 ]
 [0.95504055]
 [0.95730499]]"
25,"[[0.90210126]
 [0.911005  ]
 [0.92312928]
 [0.93461879]
 [0.93798896]]"
30,"[[0.86692941]
 [0.88010742]
 [0.89686175]
 [0.91232875]
 [0.91718493]]"
35,"[[0.82813718]
 [0.84624017]
 [0.86826733]
 [0.88827343]
 [0.89516944]]"
40,"[[0.78623028]
 [0.80961001]
 [0.83728208]
 [0.86231234]
 [0.87181687]]"
45,"[[0.74178928]
 [0.77065373]
 [0.80406937]
 [0.83435775]
 [0.84690703]]"
50,"[[0.69524657]
 [0.72984618]
 [0.76899462]
 [0.80453529]
 [0.82032392]]"
55,"[[0.64687628]
 [0.68750116]
 [0.73244088]
 [0.7731491 ]
 [0.79216539]]"
60,"[[0.59697093]
 [0.64374343]
 [0.69464699]
 [0.74052388]
 [0.7627241 ]]"
65,"[[0.54593144]
 [0.59871147]
 [0.65567528]
 [0.70686044]
 [0.73230098]]"
70,"[[0.49419962]
 [0.55266564]
 [0.61555087]
 [0.67220507]
 [0.70112011]]"
75,"[[0.44213791]
 [0.50598152]
 [0.57441271]
 [0.6365364 ]
 [0.66923359]]"
80,"[[0.39001514]
 [0.45897908]
 [0.53253734]
 [0.59988919]
 [0.63658805]]"
85,"[[0.33811863]
 [0.41185981]
 [0.49022735]
 [0.56241989]
 [0.60313187]]"
90,"[[0.28681309]
 [0.36476472]
 [0.44769964]
 [0.5243736 ]
 [0.56889035]]"
95,"[[0.2364766 ]
 [0.31789561]
 [0.40506271]
 [0.48598941]
 [0.53402689]]"
100,"[[0.18741816]
 [0.27154973]
 [0.36239166]
 [0.44742145]
 [0.49876135]]"
105,"[[0.13988251]
 [0.22603647]
 [0.31982955]
 [0.40873293]
 [0.46330569]]"
110,"[[0.0941388 ]
 [0.18158585]
 [0.27761234]
 [0.36995972]
 [0.42778682]]"
115,"[[0.05060051]
 [0.13835117]
 [0.23600058]
 [0.33118811]
 [0.3922391 ]]"
120,"[[0.01141064]
 [0.09649589]
 [0.1951968 ]
 [0.29258644]
 [0.35665379]]"
125,"[[0.03122761]
 [0.05632499]
 [0.1553215 ]
 [0.25437011]
 [0.32104928]]"
130,"[[0.06690748]
 [0.01887691]
 [0.11645851]
 [0.21673234]
 [0.28551977]]"
135,"[[0.10004714]
 [0.02093246]
 [0.07876079]
 [0.17979616]
 [0.25023075]]"
140,"[[0.13018916]
 [0.05442278]
 [0.0425761 ]
 [0.14362366]
 [0.21537155]]"
145,"[[0.15712031]
 [0.08641791]
 [0.01048373]
 [0.10827428]
 [0.18108754]]"
150,"[[0.18072059]
 [0.11619855]
 [0.02776672]
 [0.07387654]
 [0.14746762]]"
155,"[[0.20095049]
 [0.14351599]
 [0.0587603 ]
 [0.04073708]
 [0.11453023]]"
160,"[[0.21777905]
 [0.16821297]
 [0.08839703]
 [0.011106  ]
 [0.0823132 ]]"
165,"[[0.23115292]
 [0.19019137]
 [0.11626687]
 [0.02467542]
 [0.05095293]]"
170,"[[0.24105031]
 [0.2094386 ]
 [0.14219174]
 [0.05345697]
 [0.02116797]]"
175,"[[0.24753008]
 [0.22594681]
 [0.16600193]
 [0.08131538]
 [0.01331878]]"
180,"[[0.25068779]
 [0.23967837]
 [0.1876047 ]
 [0.10780143]
 [0.04001139]]"
185,"[[0.25061029]
 [0.25058939]
 [0.20696491]
 [0.13277866]
 [0.06720417]]"
190,"[[0.24739742]
 [0.25866354]
 [0.22408197]
 [0.15611898]
 [0.09339118]]"
195,"[[0.24116279]
 [0.26397247]
 [0.23895924]
 [0.17770125]
 [0.11843002]]"
200,"[[0.23206593]
 [0.26659467]
 [0.25156618]
 [0.19744589]
 [0.14227224]]"
