baseline,2.11817micron,10.54976micron
0,[1],[1]
5,[0.99999884],[nan]
10,[0.99999957],[nan]
15,[0.99999893],[nan]
20,[0.99999923],[nan]
25,[0.99999913],[nan]
30,[0.999999],[nan]
35,[0.99999943],[nan]
40,[0.99999886],[nan]
45,[0.99999982],[nan]
50,[0.99999882],[nan]
55,[0.99999973],[nan]
60,[0.99999888],[nan]
65,[0.99999935],[nan]
70,[0.99999904],[nan]
75,[0.99999908],[nan]
80,[0.9999993],[nan]
85,[0.9999989],[nan]
90,[0.99999965],[nan]
95,[0.99999883],[nan]
100,[0.9999999],[nan]
105,[0.99999885],[nan]
110,[0.99999949],[nan]
115,[0.99999897],[nan]
120,[0.99999918],[nan]
125,[0.99999919],[nan]
130,[0.99999896],[nan]
135,[0.9999995],[nan]
140,[0.99999885],[nan]
145,[0.99999992],[nan]
150,[0.99999883],[nan]
155,[0.],[nan]
160,[0.],[nan]
165,[0.],[nan]
170,[0.],[nan]
175,[0.],[nan]
180,[0.],[nan]
185,[0.],[nan]
190,[0.],[nan]
195,[0.],[nan]
200,[0.],[nan]
