baseline,2.11817micron
0,[1],[1]
2.5,[0.99793407]
5.0,[0.99177329]
7.5,[0.98154286]
10.0,[0.96726304]
12.5,[0.94900817]
15.0,[0.92685912]
17.5,[0.90089209]
20.0,[0.87121707]
22.5,[0.83796717]
25.0,[0.80127064]
27.5,[0.76127105]
30.0,[0.7181479]
32.5,[0.67207531]
35.0,[0.62322788]
37.5,[0.5718236]
40.0,[0.51807243]
42.5,[0.46218231]
45.0,[0.40439472]
47.5,[0.34494745]
50.0,[0.28407801]
52.5,[0.22204062]
55.0,[0.15909205]
57.5,[0.09548827]
60.0,[0.03149147]
62.5,[0.03263434]
65.0,[0.09662664]
67.5,[0.1602201]
70.0,[0.22315565]
72.5,[0.2851762]
75.0,[0.34601856]
77.5,[0.40544028]
80.0,[0.46319874]
82.5,[0.5190466]
85.0,[0.57276065]
87.5,[0.6241246]
90.0,[0.6729182]
92.5,[0.71894146]
95.0,[0.76201459]
97.5,[0.80195433]
100.0,[0.83858761]
