baseline,10micron
0,[1],[1]
5,[0.73012663]
10,[0.06940756]
15,[0.62913137]
20,[0.98876985]
25,[0.81842267]
30,[0.20673609]
35,[0.51522155]
40,[0.96104207]
45,[0.88897001]
50,[0.34041014]
55,[0.39175779]
60,[0.91291288]
65,[0.94468631]
70,[0.46690538]
75,[0.2606726]
80,[0.84844407]
85,[0.97961248]
90,[0.58553627]
95,[0.12448003]
100,[0.76698418]
105,[0.99771991]
110,[0.69121058]
115,[0.01407127]
120,[0.67087141]
125,[0.99511623]
130,[0.7853096]
135,[0.15225306]
140,[0.56211526]
145,[0.97421093]
150,[0.86250004]
155,[0.28798599]
160,[0.44193712]
165,[0.93427286]
170,[0.92445385]
175,[0.41727768]
180,[0.31393915]
185,[0.8760112]
190,[0.96766449]
195,[0.53946845]
200,[0.17916439]
