baseline,10micron
0,[1],[1]
5,[0.91793846]
10,[0.69878456]
15,[0.40891145]
20,[0.13176797]
25,[0.06382456]
30,[0.14475108]
35,[0.12303011]
40,[0.04273186]
45,[0.04107472]
50,[0.08632613]
55,[0.07823013]
60,[0.03087117]
65,[0.02521343]
70,[0.05993569]
75,[0.05867682]
80,[0.02674018]
85,[0.01547379]
90,[0.04489801]
95,[0.047428]
100,[0.02468213]
105,[0.00900809]
110,[0.03485137]
115,[0.04000376]
120,[0.02338854]
125,[0.00434534]
130,[0.02769257]
135,[0.03450193]
140,[0.02243996]
145,[0.00084233]
150,[0.02214216]
155,[0.03028218]
160,[0.02161397]
165,[0.00189285]
170,[0.01773873]
175,[0.02672871]
180,[0.02089283]
185,[0.00407206]
190,[0.01407638]
195,[0.02376654]
200,[0.02014283]
