baseline,10micron
0,[1],[1]
5,[0.30650572]
10,[0.80779359]
15,[0.8048737]
20,[0.31211247]
25,[0.99890872]
30,[0.30093606]
35,[0.81080747]
40,[0.80204841]
45,[0.31775521]
50,[0.99792736]
55,[0.29540453]
60,[0.81391473]
65,[0.79931829]
70,[0.32343289]
75,[0.99705605]
80,[0.28991221]
85,[0.81711476]
90,[0.79585386]
95,[0.32914442]
100,[0.99629488]
105,[0.28446016]
110,[0.82040693]
115,[0.79147078]
120,[0.33488872]
125,[0.99564395]
130,[0.27904943]
135,[0.8237906]
140,[0.78716795]
145,[0.34066472]
150,[0.99510334]
155,[0.27368107]
160,[0.82726514]
165,[0.78294614]
170,[0.34647132]
175,[0.99467314]
180,[0.26777782]
185,[0.8308299]
190,[0.77880612]
195,[0.35230744]
200,[0.99435341]
