baseline,"[9.478886, 10.54976, 11.74162]"
0,1
5,"[[0.98942126]
 [0.99040215]
 [0.99188338]]"
10,"[[0.95902691]
 [0.96280109]
 [0.96838394]]"
15,"[[0.91168328]
 [0.91993694]
 [0.93171015]]"
20,"[[0.85110215]
 [0.865151  ]
 [0.88467759]]"
25,"[[0.78041188]
 [0.80146037]
 [0.82987591]]"
30,"[[0.70203235]
 [0.73096954]
 [0.76915004]]"
35,"[[0.61788089]
 [0.65502876]
 [0.70357402]]"
40,"[[0.52993553]
 [0.57480096]
 [0.63381324]]"
45,"[[0.44041234]
 [0.4917351 ]
 [0.56058413]]"
50,"[[0.3515871 ]
 [0.40755842]
 [0.48492722]]"
55,"[[0.26551234]
 [0.32407185]
 [0.40817964]]"
60,"[[0.18396208]
 [0.24285615]
 [0.33173974]]"
65,"[[0.10846553]
 [0.1651878 ]
 [0.25682651]]"
70,"[[0.04061002]
 [0.09221946]
 [0.18439748]]"
75,"[[0.01927267]
 [0.02556411]
 [0.11526056]]"
80,"[[0.06832105]
 [0.03669371]
 [0.05041634]]"
85,"[[0.10729328]
 [0.08917515]
 [0.01417358]]"
90,"[[0.13564071]
 [0.1335266 ]
 [0.06645518]]"
95,"[[0.15336826]
 [0.16920649]
 [0.11476901]]"
100,"[[0.16060183]
 [0.19607343]
 [0.1564172 ]]"
105,"[[0.15774607]
 [0.21407965]
 [0.1910384 ]]"
110,"[[0.1455006 ]
 [0.22329443]
 [0.21852676]]"
115,"[[0.12484172]
 [0.22393047]
 [0.23884769]]"
120,"[[0.09695608]
 [0.21639515]
 [0.25197497]]"
125,"[[0.06307634]
 [0.20133469]
 [0.25792915]]"
130,"[[0.02473165]
 [0.17963403]
 [0.25686802]]"
135,"[[0.01861191]
 [0.15219234]
 [0.2491498 ]]"
140,"[[0.06203356]
 [0.11988968]
 [0.2353167 ]]"
145,"[[0.10628794]
 [0.0836918 ]
 [0.21601111]]"
150,"[[0.14959874]
 [0.04468619]
 [0.19188625]]"
155,"[[0.19066042]
 [0.00622712]
 [0.16357219]]"
160,"[[0.22834003]
 [0.03846052]
 [0.1317115 ]]"
165,"[[0.26158344]
 [0.07937433]
 [0.09702626]]"
170,"[[0.28948851]
 [0.11898182]
 [0.06037352]]"
175,"[[0.31134473]
 [0.1563039 ]
 [0.02299782]]"
180,"[[0.32670368]
 [0.19052209]
 [0.01740006]]"
185,"[[0.33538019]
 [0.22085723]
 [0.05432296]]"
190,"[[0.33734743]
 [0.24659704]
 [0.09077609]]"
195,"[[0.33278673]
 [0.2672157 ]
 [0.12553225]]"
200,"[[0.32199283]
 [0.28240294]
 [0.15792151]]"
