baseline,"[9.478886, 10.54976, 11.74162]"
0,1
5,"[[0.98756437]
 [0.98883333]
 [0.99062754]]"
10,"[[0.95228226]
 [0.95708037]
 [0.96373365]]"
15,"[[0.8985633 ]
 [0.90878818]
 [0.92247379]]"
20,"[[0.8316864 ]
 [0.84872486]
 [0.87077929]]"
25,"[[0.75562226]
 [0.78083143]
 [0.81209429]]"
30,"[[0.67282452]
 [0.70739916]
 [0.74861736]]"
35,"[[0.58489163]
 [0.62947319]
 [0.68131502]]"
40,"[[0.49361447]
 [0.54784301]
 [0.61052786]]"
45,"[[0.40128885]
 [0.46381141]
 [0.53670274]]"
50,"[[0.31032883]
 [0.37919076]
 [0.46080723]]"
55,"[[0.22274341]
 [0.29588859]
 [0.38426229]]"
60,"[[0.14009097]
 [0.21541628]
 [0.30855854]]"
65,"[[0.06375191]
 [0.13881645]
 [0.23488817]]"
70,"[[0.00833974]
 [0.06706033]
 [0.16405291]]"
75,"[[0.06569688]
 [0.00849327]
 [0.09671721]]"
80,"[[0.11550133]
 [0.06028215]
 [0.0345415 ]]"
85,"[[0.15493358]
 [0.11208941]
 [0.03010379]]"
90,"[[0.18375083]
 [0.15569101]
 [0.0818691 ]]"
95,"[[0.20200035]
 [0.19076215]
 [0.12885324]]"
100,"[[0.20973621]
 [0.21728177]
 [0.16927871]]"
105,"[[0.20727263]
 [0.23523334]
 [0.20283983]]"
110,"[[0.19529782]
 [0.24461107]
 [0.22951606]]"
115,"[[0.17484994]
 [0.24552292]
 [0.24930848]]"
120,"[[0.14715604]
 [0.23833234]
 [0.26214876]]"
125,"[[0.11338892]
 [0.223724  ]
 [0.26797351]]"
130,"[[0.0748032 ]
 [0.20264022]
 [0.26687992]]"
135,"[[0.03292604]
 [0.17597681]
 [0.25922988]]"
140,"[[0.01378067]
 [0.1445279 ]
 [0.24561965]]"
145,"[[0.0572365 ]
 [0.10914449]
 [0.22674112]]"
150,"[[0.1009048 ]
 [0.07083106]
 [0.20324147]]"
155,"[[0.14249744]
 [0.03099806]
 [0.17568219]]"
160,"[[0.18086534]
 [0.01293012]
 [0.14461588]]"
165,"[[0.21493157]
 [0.05176424]
 [0.11070977]]"
170,"[[0.24372288]
 [0.09065539]
 [0.07482702]]"
175,"[[0.26646624]
 [0.12749825]
 [0.03813603]]"
180,"[[0.28270713]
 [0.16145205]
 [0.00868776]]"
185,"[[0.29229132]
 [0.19170821]
 [0.03818587]]"
190,"[[0.29519849]
 [0.21749836]
 [0.07344098]]"
195,"[[0.29155998]
 [0.23826348]
 [0.10731892]]"
200,"[[0.28159594]
 [0.25371399]
 [0.1390179 ]]"
