baseline,0.8083358micron,2.11817micron
0,[1],[1]
5,[0.87230357],[0.98008153]
10,[0.53859511],[0.92164543]
15,[0.12563743],[0.8282739]
20,[0.21806309],[0.70568004]
25,[0.38167528],[0.56131954]
30,[0.33811053],[0.40375753]
35,[0.14593267],[0.24217917]
40,[0.08373752],[0.08580329]
45,[0.23991367],[0.05807266]
50,[0.26133401],[0.18011737]
55,[0.15653295],[0.27607382]
60,[0.00886053],[0.34200401]
65,[0.14840059],[0.37631299]
70,[0.1999787],[0.37943035]
75,[0.15004919],[0.35385456]
80,[0.03517765],[0.30374384]
85,[0.08168666],[0.2345831]
90,[0.14454144],[0.15281886]
95,[0.13040355],[0.0653084]
100,[0.05624296],[0.02166586]
105,[0.03432662],[0.10075805]
110,[0.09558706],[0.16745877]
115,[0.10236353],[0.21749617]
120,[0.05946331],[0.24820748]
125,[0.00521768],[0.2584821]
130,[0.05618348],[0.24880667]
135,[0.07172283],[0.22103883]
140,[0.05017052],[0.1782894]
145,[0.00903219],[0.12458399]
150,[0.02871206],[0.06451537]
155,[0.04411718],[0.0032883]
160,[0.03471986],[0.05563902]
165,[0.01108866],[0.10680412]
170,[0.01233077],[0.14725038]
175,[0.02177322],[0.1745093]
180,[0.0166216],[0.18725816]
185,[0.00449021],[0.18531642]
190,[0.00755288],[0.16958296]
195,[0.00899383],[0.14198533]
200,[0.00262397],[0.1052032]
