baseline,2.11817micron,10.54976micron
0,[1],[1]
5,[0.97725827],[0.99249068]
10,[0.91139218],[0.97269878]
15,[0.80839992],[0.94546318]
20,[0.67664276],[0.91601281]
25,[0.52569182],[0.88761926]
30,[0.36542201],[0.8605547]
35,[0.20548396],[0.8334119]
40,[0.05491239],[0.80484022]
45,[0.0799184],[0.7748135]
50,[0.19114814],[0.74431169]
55,[0.27546308],[0.71441322]
60,[0.33034313],[0.68531524]
65,[0.35528049],[0.6564484]
70,[0.35149],[0.62709794]
75,[0.32190792],[0.59717549]
80,[0.27080323],[0.56718675]
85,[0.20348783],[0.53779155]
90,[0.12600198],[0.50913443]
95,[0.04466575],[0.4808584]
100,[0.03480891],[0.45246824]
105,[0.10609741],[0.42384576]
110,[0.16495885],[0.39533142]
115,[0.2078145],[0.36742037]
120,[0.23247994],[0.34029135]
125,[0.23820092],[0.31370825]
130,[0.22568535],[0.28731282]
135,[0.19688469],[0.26097352]
140,[0.15487373],[0.23492466]
145,[0.10352792],[0.2095423]
150,[0.04719853],[0.18502142]
155,[0.00980029],[0.16118489]
160,[0.06273209],[0.13775614]
165,[0.10818771],[0.11462542]
170,[0.14306562],[0.09196774]
175,[0.16527847],[0.07009557]
180,[0.17383155],[0.04923633]
185,[0.16880132],[0.02929788]
190,[0.1512603],[0.01048316]
195,[0.12321],[0.01056026]
200,[0.08731021],[0.0283372]
