baseline,"[9.478886, 10.54976, 11.74162]"
0,1
5,"[[0.99771214]
 [0.99780734]
 [0.99806748]]"
10,"[[0.99115996]
 [0.99154278]
 [0.99251892]]"
15,"[[0.98099931]
 [0.98192477]
 [0.98399445]]"
20,"[[0.9680206 ]
 [0.96979217]
 [0.97328471]]"
25,"[[0.95279109]
 [0.955824  ]
 [0.96106612]]"
30,"[[0.93562408]
 [0.94038053]
 [0.94773859]]"
35,"[[0.91665714]
 [0.92356307]
 [0.93342238]]"
40,"[[0.8960167 ]
 [0.90538599]
 [0.91807977]]"
45,"[[0.87387705]
 [0.8859288 ]
 [0.90166744]]"
50,"[[0.85041614]
 [0.86533964]
 [0.88422843]]"
55,"[[0.82576721]
 [0.84377232]
 [0.86588817]]"
60,"[[0.79999701]
 [0.82132844]
 [0.84678535]]"
65,"[[0.77317679]
 [0.79803599]
 [0.82700286]]"
70,"[[0.74539842]
 [0.77390111]
 [0.80654985]]"
75,"[[0.71679467]
 [0.7489703 ]
 [0.7854    ]]"
80,"[[0.68747103]
 [0.72334389]
 [0.76354964]]"
85,"[[0.65750569]
 [0.69713058]
 [0.74105037]]"
90,"[[0.62695013]
 [0.67040235]
 [0.71799548]]"
95,"[[0.59587801]
 [0.64319299]
 [0.69447612]]"
100,"[[0.56438788]
 [0.61551896]
 [0.67054369]]"
105,"[[0.5325863 ]
 [0.58742105]
 [0.64620614]]"
110,"[[0.50055811]
 [0.55898016]
 [0.62145752]]"
115,"[[0.46836553]
 [0.53029   ]
 [0.5963153 ]]"
120,"[[0.43607259]
 [0.50142201]
 [0.57083646]]"
125,"[[0.40376373]
 [0.47241539]
 [0.54510214]]"
130,"[[0.37153757]
 [0.44329818]
 [0.51918528]]"
135,"[[0.33948465]
 [0.41411531]
 [0.49312748]]"
140,"[[0.30767117]
 [0.38494087]
 [0.46694197]]"
145,"[[0.27615644]
 [0.35586092]
 [0.4406386 ]]"
150,"[[0.2450053 ]
 [0.32694515]
 [0.41424994]]"
155,"[[0.21430305]
 [0.29823685]
 [0.38783823]]"
160,"[[0.18413139]
 [0.26976571]
 [0.36147902]]"
165,"[[0.15456048]
 [0.24157097]
 [0.33523542]]"
170,"[[0.12564277]
 [0.21371468]
 [0.30914323]]"
175,"[[0.0974359 ]
 [0.18627252]
 [0.28321752]]"
180,"[[0.07001851]
 [0.15930347]
 [0.25747417]]"
185,"[[0.04350641]
 [0.13284687]
 [0.23194871]]"
190,"[[0.01825721]
 [0.10693331]
 [0.20669802]]"
195,"[[0.00919222]
 [0.08160241]
 [0.18178457]]"
200,"[[0.03167812]
 [0.05692368]
 [0.15725665]]"
