baseline,2.11817micron
0,1
5,0.9776174272219867
10,0.9126029162568654
15,0.8105227843496529
20,0.6794134601873152
25,0.5287019165648279
30,0.36824841429255395
35,0.20777172201908967
40,0.056391301112404035
45,0.07915825045650225
50,0.1911776109561277
55,0.27610678849847536
60,0.33139756393632686
65,0.35655006254219296
70,0.35281743605646043
75,0.32319041436314633
80,0.2719935890888084
85,0.20458296909612028
90,0.12702111820413894
95,0.04561687082769719
100,0.033858482791125834
105,0.10523936969212168
110,0.164234007542575
115,0.20729239721894804
120,0.23223647739588485
125,0.23830374676258423
130,0.2261799675656059
135,0.1977823407715024
140,0.15614277048314662
145,0.10509174234327837
150,0.04893926209409783
155,0.008006938003496299
160,0.06105366468865564
165,0.10677199719175945
170,0.14204060769910498
175,0.164741013955044
180,0.1738362440058352
185,0.16935473103690954
190,0.1523206356284267
195,0.12469233333780715
200,0.08909485900696756
