baseline,"[9.478886, 10.54976, 11.74162]"
0,1
5,"[[0.98988578]
 [0.99098231]
 [0.99276005]]"
10,"[[0.96334736]
 [0.96681398]
 [0.97287301]]"
15,"[[0.92878149]
 [0.93417942]
 [0.94495214]]"
20,"[[0.89413486]
 [0.9001213 ]
 [0.91432895]]"
25,"[[0.86269961]
 [0.86877747]
 [0.8849007 ]]"
30,"[[0.83317901]
 [0.84035161]
 [0.85800426]]"
35,"[[0.80291299]
 [0.81270472]
 [0.83275082]]"
40,"[[0.77092611]
 [0.78383582]
 [0.80738873]]"
45,"[[0.73837744]
 [0.75349921]
 [0.7807417 ]]"
50,"[[0.70677791]
 [0.72292672]
 [0.75288277]]"
55,"[[0.67628746]
 [0.6934371 ]
 [0.72481101]]"
60,"[[0.64580077]
 [0.66523945]
 [0.697559  ]]"
65,"[[0.61435728]
 [0.63745141]
 [0.67144585]]"
70,"[[0.58215614]
 [0.60905665]
 [0.64596676]]"
75,"[[0.55018478]
 [0.57983132]
 [0.620293  ]]"
80,"[[0.51904804]
 [0.55043742]
 [0.59393304]]"
85,"[[0.4883919 ]
 [0.52169898]
 [0.56705534]]"
90,"[[0.45748286]
 [0.49385333]
 [0.54028256]]"
95,"[[0.42614031]
 [0.46640599]
 [0.51417486]]"
100,"[[0.39496089]
 [0.438714  ]
 [0.48882182]]"
105,"[[0.364653  ]
 [0.41062594]
 [0.46383651]]"
110,"[[0.33530265]
 [0.3826305 ]
 [0.43871562]]"
115,"[[0.30639374]
 [0.35538644]
 [0.4132595 ]]"
120,"[[0.27748904]
 [0.32914375]
 [0.38772823]]"
125,"[[0.24876091]
 [0.3035773 ]
 [0.36263572]]"
130,"[[0.22078652]
 [0.27815539]
 [0.33836442]]"
135,"[[0.19391952]
 [0.25267636]
 [0.31490474]]"
140,"[[0.16794003]
 [0.22744814]
 [0.29190674]]"
145,"[[0.14240451]
 [0.20298778]
 [0.26898321]]"
150,"[[0.11718325]
 [0.17955009]
 [0.24601798]]"
155,"[[0.09261823]
 [0.15694281]
 [0.22324742]]"
160,"[[0.06911297]
 [0.13475529]
 [0.20107034]]"
165,"[[0.04671176]
 [0.11277711]
 [0.17974971]]"
170,"[[0.02516765]
 [0.09118871]
 [0.15923923]]"
175,"[[0.00579354]
 [0.0703762 ]
 [0.13925638]]"
180,"[[0.0177996 ]
 [0.05055268]
 [0.11952735]]"
185,"[[0.03712614]
 [0.03161212]
 [0.10000411]]"
190,"[[0.05547758]
 [0.01345335]
 [0.08088959]]"
195,"[[0.07285593]
 [0.00676225]
 [0.06246697]]"
200,"[[0.08952019]
 [0.02344851]
 [0.044883  ]]"
