baseline,2.11817micron,10.54976micron
0,[1],[1]
5,[0.1202279],[0.76314968]
10,[0.07091084],[0.48866206]
15,[0.15370106],[0.23505806]
20,[0.16318242],[0.02405259]
25,[0.12450017],[0.12956312]
30,[0.06608522],[0.21260713]
35,[0.01377678],[0.22673748]
40,[0.01739246],[0.18220444]
45,[0.02499775],[0.10102839]
50,[0.01789252],[0.00814844]
55,[0.0068706],[0.07319684]
60,[0.00201916],[0.12509756]
65,[0.00417696],[0.13882563]
70,[0.01178884],[0.11628074]
75,[0.01841061],[0.06749918]
80,[0.01936526],[0.00781692]
85,[0.01398803],[0.0470914]
90,[0.00556346],[0.08417904]
95,[0.00233746],[0.0961482]
100,[0.0057088],[0.08294364]
105,[0.00537235],[0.05035763]
110,[0.00306307],[0.00867658]
115,[0.0014277],[0.03110761]
120,[0.00186573],[0.05889015]
125,[0.00383558],[0.06934636]
130,[0.00574146],[0.0613335]
135,[0.0059531],[0.0388152]
140,[0.0042902],[0.00882168]
145,[0.00176068],[0.02023484]
150,[0.00162437],[0.04143829]
155,[0.00239341],[0.0498961]
160,[0.00239494],[0.04507742]
165,[0.],[0.02938563]
170,[0.],[0.00817053]
175,[0.],[0.0129653]
180,[0.],[0.02830629]
185,[0.],[0.03494943]
190,[0.],[0.03203583]
195,[0.],[0.02103434]
200,[0.],[0.00657262]
