baseline,2.11817micron,10.54976micron
0,[1],[1]
5,[0.11996332],[0.76349524]
10,[0.07125064],[0.48913453]
15,[0.15411258],[0.23531195]
20,[0.16358612],[0.02424936]
25,[0.124819],[0.12934862]
30,[0.06627772],[0.21260174]
35,[0.01384999],[0.22691495]
40,[0.01740374],[0.18246327]
45,[0.02504367],[0.10146853]
50,[0.01792265],[0.0083722]
55,[0.00688318],[0.07324663]
60,[0.00202367],[0.12507792]
65,[0.00418658],[0.13889696]
70,[0.0118116],[0.11665573]
75,[0.01844882],[0.06793236]
80,[0.01941268],[0.00805178]
85,[0.01403101],[0.04705277]
90,[0.00559156],[0.08429364]
95,[0.00233188],[0.09642818]
100,[0.00571666],[0.08328543]
105,[0.00538415],[0.05065721]
110,[0.00307317],[0.00883293]
115,[0.00143413],[0.03112247]
120,[0.00186914],[0.05908945]
125,[0.00383923],[0.06962437]
130,[0.00574781],[0.06159632]
135,[0.00596419],[0.03901617]
140,[0.00430272],[0.00888025]
145,[0.00177285],[0.02035988]
150,[0.00162215],[0.0416194]
155,[0.00239402],[0.05007029]
160,[0.00240159],[0.04524639]
165,[0.],[0.02949348]
170,[0.],[0.00815895]
175,[0.],[0.01307518]
180,[0.],[0.02845175]
185,[0.],[0.035066]
190,[0.],[0.03209867]
195,[0.],[0.02104191]
200,[0.],[0.00653698]
