baseline,2.11817micron,10.54976micron
0,[1],[1]
5,[0.18381252],[0.68981158]
10,[0.02724557],[0.39279924]
15,[0.05424055],[0.15083791]
20,[0.09250454],[0.0326998]
25,[0.09947402],[0.14861241]
30,[0.08500647],[0.1952344]
35,[0.0601261],[0.17882767]
40,[0.03483828],[0.11749012]
45,[0.01555006],[0.03594102]
50,[0.00751004],[0.04210132]
55,[0.00658334],[0.09646023]
60,[0.01084556],[0.11635241]
65,[0.01628982],[0.10180806]
70,[0.01985524],[0.06091807]
75,[0.01909226],[0.0082064]
80,[0.01473143],[0.04046981]
85,[0.00857908],[0.07238622]
90,[0.00284395],[0.08037117]
95,[0.00103866],[0.06490862]
100,[0.00134124],[0.03318208]
105,[0.00109318],[0.00456848]
110,[0.00360436],[0.03696493]
115,[0.0055131],[0.05547372]
120,[0.00523985],[0.05657086]
125,[0.00345354],[0.04158513]
130,[0.00081857],[0.01647848]
135,[0.0021047],[0.01044261]
140,[0.00345799],[0.03163446]
145,[0.00318991],[0.04144109]
150,[0.00161881],[0.03858344]
155,[0.],[0.02511895]
160,[0.],[0.00630282]
165,[0.],[0.01240307]
170,[0.],[0.02487847]
175,[0.],[0.02929649]
180,[0.],[0.02455774]
185,[0.],[0.01342192]
190,[0.],[0.00092018]
195,[0.],[0.01123956]
200,[0.],[0.01819908]
