baseline,2.11817micron,10.54976micron
0,[1],[1]
5,[0.19832895],[0.79207911]
10,[0.04622915],[0.50745315]
15,[0.03529724],[0.21828939]
20,[0.07721131],[0.02562264]
25,[0.09022781],[0.18931605]
30,[0.08266008],[0.25886302]
35,[0.06319726],[0.23938105]
40,[0.0402387],[0.154985]
45,[0.02079577],[0.04119497]
50,[0.00892774],[0.06628088]
55,[0.0041295],[0.13810468]
60,[0.00511284],[0.15952248]
65,[0.00987885],[0.13214136]
70,[0.01504047],[0.07009715]
75,[0.01809728],[0.00447829]
80,[0.01784331],[0.06828237]
85,[0.01462051],[0.10496312]
90,[0.00991689],[0.10701115]
95,[0.00528702],[0.07786087]
100,[0.00263511],[0.02954378]
105,[0.00190516],[0.02217322]
110,[0.00196347],[0.06175655]
115,[0.0027598],[0.0790935]
120,[0.00394012],[0.07176334]
125,[0.00471837],[0.044331]
130,[0.00471849],[0.00700086]
135,[0.00404959],[0.02813106]
140,[0.0029442],[0.05129899]
145,[0.0017817],[0.05683477]
150,[0.00149852],[0.04524405]
155,[0.],[0.02194125]
160,[0.],[0.00510716]
165,[0.],[0.02743495]
170,[0.],[0.03903815]
175,[0.],[0.03810347]
180,[0.],[0.025905]
185,[0.],[0.00799852]
190,[0.],[0.00983205]
195,[0.],[0.02255939]
200,[0.],[0.02636366]
