baseline,2.11817micron,10.54976micron
0,[1],[1]
5,[0.19094501],[0.74333999]
10,[0.03491066],[0.45174588]
15,[0.04698963],[0.18537385]
20,[0.08703723],[0.02801633]
25,[0.09677356],[0.16788388]
30,[0.08539154],[0.22705847]
35,[0.06273182],[0.21036274]
40,[0.03805383],[0.1383829]
45,[0.01846348],[0.04092393]
50,[0.00855168],[0.05242905]
55,[0.00585933],[0.11672229]
60,[0.00861219],[0.13889093]
65,[0.01405864],[0.11896342]
70,[0.01845813],[0.06772132]
75,[0.01956894],[0.00385313]
80,[0.01693371],[0.05350226]
85,[0.01198543],[0.08894008]
90,[0.00661735],[0.09489171]
95,[0.00257908],[0.07314007]
100,[0.0014594],[0.03312662]
105,[0.00184701],[0.01210564]
110,[0.00328311],[0.04895632]
115,[0.00472815],[0.06787824]
120,[0.00520937],[0.06552532]
125,[0.00433094],[0.04463511]
130,[0.00265979],[0.01326341]
135,[0.00126123],[0.01841679]
140,[0.00162129],[0.04155505]
145,[0.0018757],[0.05011106]
150,[0.0015839],[0.04346142]
155,[0.],[0.02517623]
160,[0.],[0.0018717]
165,[0.],[0.01943258]
170,[0.],[0.03231854]
175,[0.],[0.03471727]
180,[0.],[0.02642503]
185,[0.],[0.01178228]
190,[0.],[0.00411148]
195,[0.],[0.01706163]
200,[0.],[0.02294629]
