baseline,2.11817micron,10.54976micron
0,[1],[1]
5,[0.43412041],[0.88364654]
10,[0.29040022],[0.73006688]
15,[0.21943251],[0.56913368]
20,[0.18455204],[0.4093215]
25,[0.15579815],[0.25695671]
30,[0.12998806],[0.11744522]
35,[0.11756169],[0.0064255]
40,[0.09316815],[0.1035792]
45,[0.08866519],[0.17731276]
50,[0.06573016],[0.22400249]
55,[0.0645552],[0.2436785]
60,[0.04474703],[0.23821256]
65,[0.0436188],[0.21110545]
70,[0.02878179],[0.16720311]
75,[0.02554361],[0.11222414]
80,[0.01683929],[0.05216497]
85,[0.01036429],[0.00761768]
90,[0.00906161],[0.06061313]
95,[0.00368629],[0.10373707]
100,[0.00221522],[0.13360472]
105,[0.01243551],[0.14865997]
110,[0.00400594],[0.14860172]
115,[0.01718201],[0.13469032]
120,[0.00617546],[0.10912392]
125,[0.01902888],[0.07521323]
130,[0.00662629],[0.03666429]
135,[0.0186607],[0.00290923]
140,[0.00596104],[0.03904704]
145,[0.01651142],[0.06931116]
150,[0.00497737],[0.09104198]
155,[0.01335475],[0.10281992]
160,[0.00393387],[0.10418526]
165,[0.00936881],[0.0957176]
170,[0.00296235],[0.078824]
175,[0.00543392],[0.05563905]
180,[0.00277741],[0.0286962]
185,[0.00139645],[0.00092122]
190,[0.002558],[0.02551593]
195,[0.00244283],[0.04777389]
200,[0.00212822],[0.06417983]
