baseline,2.11817micron,10.54976micron
0,[1],[1]
5,[0.17727714],[0.74671005]
10,[0.01367185],[0.45894296]
15,[0.07081713],[0.19605173]
20,[0.10779239],[0.0168857]
25,[0.11048953],[0.16032575]
30,[0.09074731],[0.22535998]
35,[0.06107384],[0.21513033]
40,[0.03267954],[0.14888711]
45,[0.01282567],[0.05372387]
50,[0.00560236],[0.04074827]
55,[0.0065434],[0.10941822]
60,[0.01172023],[0.13849524]
65,[0.01716031],[0.12551906]
70,[0.01924],[0.07940122]
75,[0.01675668],[0.01721412]
80,[0.01076203],[0.04249082]
85,[0.00397941],[0.08316912]
90,[0.00195438],[0.09621717]
95,[0.0042431],[0.08124964]
100,[0.00388632],[0.04532255]
105,[0.00163509],[0.00098081]
110,[0.00078921],[0.03909258]
115,[0.00158597],[0.06403546]
120,[0.0007645],[0.06851224]
125,[0.00142401],[0.0535649]
130,[0.00347356],[0.02534125]
135,[0.00474445],[0.0070169]
140,[0.00478548],[0.03380453]
145,[0.00387074],[0.04840552]
150,[0.00295841],[0.04795854]
155,[0.00262055],[0.03414414]
160,[0.],[0.01262724]
165,[0.],[0.01025144]
170,[0.],[0.02735623]
175,[0.],[0.03492133]
180,[0.],[0.03181657]
185,[0.],[0.01986514]
190,[0.],[0.00441929]
195,[0.],[0.0105444]
200,[0.],[0.02072151]
