baseline,2.11817micron,10.54976micron
10,[0.18041601],[0.63571263]
20,[0.16884629],[0.13528246]
30,[0.03527818],[0.22156572]
40,[0.0642263],[0.28437634]
50,[0.00352087],[0.10915511]
60,[6.41581763e-05],[0.10789213]
70,[0.00230337],[0.190584]
80,[0.02167677],[0.10395999]
90,[0.00684122],[0.04940124]
100,[0.01263497],[0.13437239]
110,[0.00487593],[0.09551974]
120,[0.00211875],[0.01378974]
130,[0.00299088],[0.09262512]
140,[0.00687427],[0.08260173]
150,[0.00626962],[0.0075941]
160,[0.00376749],[0.05997315]
170,[0.00276934],[0.0664984]
180,[0.],[0.01820023]
190,[0.],[0.03506265]
200,[0.],[0.04897837]
