baseline,2.11817micron,10.54976micron
10,[0.0036797],[0.61350783]
20,[0.12446968],[0.03881357]
30,[0.09787304],[0.30073412]
40,[0.03150924],[0.24022375]
50,[0.00552776],[0.03396091]
60,[0.01524755],[0.2063014]
70,[0.02093739],[0.13637479]
80,[0.0075816],[0.05409476]
90,[0.00596376],[0.15203213]
100,[0.0042787],[0.07889427]
110,[0.00179109],[0.05877657]
120,[0.00112445],[0.11097047]
130,[0.00805375],[0.0420608]
140,[0.00761518],[0.05487241]
150,[0.00221574],[0.07715042]
160,[0.],[0.01810747]
170,[0.],[0.04559268]
180,[0.],[0.04917185]
190,[0.],[0.0037273]
200,[0.],[0.03325876]
