baseline,2.11817micron,10.54976micron
10,[0.00387514],[0.62228318]
20,[0.12515054],[0.04374023]
30,[0.09758199],[0.30466884]
40,[0.03082311],[0.24696697]
50,[0.00537753],[0.03242162]
60,[0.01551555],[0.21085079]
70,[0.02092798],[0.14111421]
80,[0.00702413],[0.05432986]
90,[0.00647507],[0.1561684]
100,[0.00430932],[0.08185534]
110,[0.00194246],[0.05996256]
120,[0.00130128],[0.11427349]
130,[0.00846767],[0.04359761]
140,[0.00781266],[0.05633175]
150,[0.00202202],[0.07940121]
160,[0.],[0.0186153]
170,[0.],[0.04691732]
180,[0.],[0.0504694]
190,[0.],[0.00369941]
200,[0.],[0.03415004]
