baseline,2.11817micron,10.54976micron
10,[0.29046521],[0.73059804]
20,[0.18469357],[0.4101394]
30,[0.13012935],[0.11757478]
40,[0.09327539],[0.10399377]
50,[0.06580752],[0.22445346]
60,[0.04480465],[0.2385613]
70,[0.02882776],[0.16755752]
80,[0.01686774],[0.05232904]
90,[0.00906462],[0.06078709]
100,[0.00221604],[0.13390407]
110,[0.00401444],[0.1487203]
120,[0.00619019],[0.10903934]
130,[0.00664423],[0.03650269]
140,[0.00597841],[0.039149]
150,[0.0049913],[0.09104801]
160,[0.00394624],[0.10419476]
170,[0.00297417],[0.07888971]
180,[0.0027837],[0.02876818]
190,[0.00255866],[0.0255005]
200,[0.00212741],[0.06423522]
