baseline,2.11817micron,10.54976micron
0,[1],[1]
5,[0.99220229],[0.99507789]
10,[0.96903383],[0.98541717]
15,[0.93114715],[0.97415788]
20,[0.87958126],[0.96206037]
25,[0.81570147],[0.94944364]
30,[0.74113783],[0.93645905]
35,[0.65771737],[0.92317289]
40,[0.567404],[0.90960972]
45,[0.47224265],[0.89578023]
50,[0.37431029],[0.88169459]
55,[0.27567223],[0.86736301]
60,[0.17835476],[0.85279839]
65,[0.08440175],[0.83801442]
70,[0.01047539],[0.82302437]
75,[0.08837271],[0.8078434]
80,[0.16264752],[0.79248497]
85,[0.22764138],[0.77696193]
90,[0.282133],[0.76128673]
95,[0.3251811],[0.74547074]
100,[0.35606206],[0.72952655]
105,[0.37426415],[0.71346578]
110,[0.],[0.69729971]
115,[0.],[0.68103925]
120,[0.],[0.66469395]
125,[0.],[0.64827341]
130,[0.],[0.63178695]
135,[0.],[0.61524418]
140,[0.],[0.59865504]
145,[0.],[0.58202926]
150,[0.],[0.56537651]
155,[0.],[0.54870584]
160,[0.],[0.53202582]
165,[0.],[0.5153447]
170,[0.],[0.49867026]
175,[0.],[0.48201002]
180,[0.],[0.46537159]
185,[0.],[0.44876271]
190,[0.],[0.43219051]
195,[0.],[0.41566192]
200,[0.],[0.39918389]
