baseline,2.11817micron,10.54976micron
10,[0.01361624],[0.45981243]
20,[0.10788886],[0.01678141]
30,[0.09083313],[0.22530088]
40,[0.03272424],[0.14932562]
50,[0.00561133],[0.04073187]
60,[0.01172962],[0.13876154]
70,[0.019266],[0.07960586]
80,[0.01078978],[0.04231461]
90,[0.00194353],[0.09643757]
100,[0.00387833],[0.04565118]
110,[0.00079602],[0.03912291]
120,[0.00077473],[0.06883884]
130,[0.00346111],[0.02548493]
140,[0.00477754],[0.0339744]
150,[0.00295508],[0.04816216]
160,[0.],[0.01256618]
170,[0.],[0.02749379]
180,[0.],[0.03186909]
190,[0.],[0.00442584]
200,[0.],[0.02076544]
