baseline,2.11817micron,10.54976micron
10,[0.03092954],[0.50234361]
20,[0.14323536],[0.01383586]
30,[0.08721572],[0.23258644]
40,[0.01081291],[0.18216346]
50,[0.00702346],[0.01450491]
60,[0.00851978],[0.14399337]
70,[0.00535954],[0.10970061]
80,[0.01129177],[0.01794907]
90,[0.01434734],[0.10134529]
100,[0.00510934],[0.07347037]
110,[0.00242416],[0.01711929]
120,[0.00516085],[0.07404137]
130,[0.0033158],[0.05080014]
140,[0.00272981],[0.0152931]
150,[0.00371424],[0.05394349]
160,[0.],[0.03451174]
170,[0.],[0.01295648]
180,[0.],[0.03808544]
190,[0.],[0.02205621]
200,[0.],[0.01039029]
